2023_12_29,20231229FR 040,DEP,FR 040,10:15 Uhr,departed,10:25 Uhr,FCO,FR,Rom FCO,Ryanair,---,Fri
2023_12_29,20231229EI 333,DEP,EI 333,10:20 Uhr,departed,on time,DUB,EI,Dublin,Aer Lingus,---,Fri
2023_12_29,20231229EZY2602,DEP,EZY2602,10:30 Uhr,departed,on time,LTN,U2,London LTN,easyJet UK,---,Fri
2023_12_29,20231229FR 2599,DEP,FR 2599,10:35 Uhr,departed,on time,RIX,FR,Riga,Ryanair,---,Fri
2023_12_29,20231229EW 8290,DEP,EW 8290,10:40 Uhr,departed,on time,TFS,EW,Teneriffa,Eurowings,---,Fri
2023_12_29,20231229FR 5474,DEP,FR 5474,10:40 Uhr,departed,on time,RAK,FR,Marrakesch,Ryanair,---,Fri
2023_12_29,20231229LH 183,DEP,LH 183,10:40 Uhr,departed,on time,FRA,LH,Frankfurt,Lufthansa,---,Fri
2023_12_29,20231229FR 234,DEP,FR 234,10:45 Uhr,departed,11:10 Uhr,AGP,FR,Malaga,Ryanair,---,Fri
2023_12_29,20231229VY 1883,DEP,VY 1883,10:45 Uhr,departed,on time,BCN,VY,Barcelona,Vueling Airlines,---,Fri
2023_12_29,20231229LX 977,DEP,LX 977,10:50 Uhr,departed,10:56 Uhr,ZRH,LX,Zürich,Swiss,---,Fri
2023_12_29,20231229TR 721,DEP,TR 721,10:50 Uhr,departed,on time,SIN,TR,Singapur,Scoot,---,Fri
2023_12_29,20231229LH 1935,DEP,LH 1935,11:00 Uhr,departed,on time,MUC,LH,München,Lufthansa,---,Fri
2023_12_29,20231229BA 991,DEP,BA 991,11:05 Uhr,departed,on time,LHR,BA,London LHR,British Airways,---,Fri
2023_12_29,20231229BJ 249,DEP,BJ 249,11:05 Uhr,departed,11:40 Uhr,MIR,BJ,Monastir,Nouvelair Tunisie,---,Fri
2023_12_29,20231229EW 8980,DEP,EW 8980,11:10 Uhr,departed,11:35 Uhr,BEY,EW,Beirut,Eurowings,---,Fri
2023_12_29,20231229TK 1722,DEP,TK 1722,11:10 Uhr,departed,11:20 Uhr,IST,TK,Istanbul Airport,Turkish Airlines,---,Fri
2023_12_29,20231229EJU5057,DEP,EJU5057,11:15 Uhr,departed,12:15 Uhr,VCE,EJU,Venedig,easyJet Europe,---,Fri
2023_12_29,20231229FR 2789,DEP,FR 2789,11:15 Uhr,departed,on time,STN,FR,London STN,Ryanair,---,Fri
2023_12_29,20231229LO 388,DEP,LO 388,11:15 Uhr,departed,on time,WAW,LO,Warschau,LOT Polish Airlines,---,Fri
2023_12_29,20231229SR 6452,DEP,SR 6452,11:15 Uhr,departed,on time,HRG,SDR,Hurghada,SUNDAIR,---,Fri
2023_12_29,20231229OS 226,DEP,OS 226,11:20 Uhr,departed,on time,VIE,OS,Wien,Austrian Airlines,---,Fri
2023_12_29,20231229BN 1951,DEP,BN 1951,11:30 Uhr,departed,12:05 Uhr,BZO,LWG,Bozen,Luxwing,---,Fri
2023_12_29,20231229OG 701,DEP,OG 701,11:30 Uhr,departed,11:40 Uhr,KEF,OG,Reykjavik,PLAY,---,Fri
2023_12_29,202312292S 3008,DEP,2S 3008,11:40 Uhr,departed,11:55 Uhr,AYT,2S,Antalya,Southwind Airlines,---,Fri
2023_12_29,20231229A3 821,DEP,A3 821,11:40 Uhr,departed,12:30 Uhr,ATH,A3,Athen,Aegean Airlines,---,Fri
2023_12_29,20231229FH 1282,DEP,FH 1282,11:40 Uhr,departed,12:15 Uhr,AYT,FHY,Antalya,Freebird Airlines,---,Fri
2023_12_29,20231229LH 185,DEP,LH 185,11:40 Uhr,departed,on time,FRA,LH,Frankfurt,Lufthansa,---,Fri
2023_12_29,20231229I2 3677,DEP,I2 3677,11:45 Uhr,departed,12:30 Uhr,MAD,IBS,Madrid,IBERIA Express,---,Fri
2023_12_29,20231229SK 2678,DEP,SK 2678,11:45 Uhr,departed,12:47 Uhr,ARN,SK,Stockholm ARN,SAS-Scandinavian Airlines System,---,Fri
